title_norm,label_1,level_2,job_code
عضو هییت مدیره حمل و نقل چندوجهی گروه خودروسازی,1,11,
عضو هییت مدیره کارخانجات سهامی عام,1,11,
رئیس مرکز اموزش سربازان سازندگی,1,13,
رئیسhse,1,13,
مدیریت کنترل کبفبت,1,13,
معاون اداره تعاون کار و رفاه اجتماعی کاشمر,1,13,
کارشناس اقامه نمازوقران ومعارف اسلامی مدارس,2,23,
متخصص ساخت چندرسانه ای ها,2,25,
ع?اس و فیلمبردار,2,26,
تکنیسین خمیرسازیهاومنطقه باگاس,3,31,
کارشناس اتوماسیون سطح عملیات حرارتی,3,31,
تکنیسین نسخه پیچی,3,32,
دستیار مامای متخصص,3,32,
انباداردرجه انبارمعدن,4,43,
حسا بدار اتوبوس رانی,4,43,
مونتاژکار و صافکار ارشد پرداخت,7,72,
کاراموز فورمن تزریق,7,72,
کاراموزجوشکاری,7,72,
نجاروعایق کاردرجه,7,75,
وردست نخ پیچ,7,75,
کاراموز خیاطی,7,75,
گره زن چله کش و آماده کن بافندگی,7,75,
کاراموزاپراتوراسکروپرس خمیرسازی,8,81,
کاراموزنیروگاه,8,81,
کارگراسپرال,8,81,
کمپرسوروهزن,8,81,
کوره بان وووارشد,8,81,
پیکورکاراستخراج,8,83,
کاراموزراننده اموزشی امورمعدن,8,83,
ماشین کاردرجه درمخزن سازی قدرت,7,72,
ماشینکارتکمیل,8,81,
ماشینکاردرجه,8,81,
مسیول حسا بداری اداری و رفاه,4,43,
مسیول حسا بداری بیمه و تر خیص,4,43,
مسیول حسا بداری تمر کز پرداخت قرار دادها,4,43,
مسیول حسا بداری خد ما ت فروش,4,43,
مسیول حسا بداری خرید خد ما تی و تسو یه خریدها,4,43,
مسیول حسا بداری فروش قطعا ت,4,43,
مسیول حسا بداری قرار دادها و لیزینگ,4,43,
مسیول حسا بداری قرار دادهای تو لیدی,4,43,
مسیول حسا بداری مواد اولیه وغیر دولتی,4,43,
مسیول حسا بداری پذ یرش چک و حوا له,4,43,
مسیول حسا بداری کا لا ی نیمه ساخته و محصول,4,43,
معاون انبار در تخلیه و بارگیری,4,43,
خشکبار فرورش,5,52,
دامدا,6,61,
تراشکاروقالبند,7,72,
سرمکانیکلافلایرشانه,7,72,
تکنیسین ارشد تعمیرات برق پمپهای زهکشی,7,74,
تکنیسین اسمبل کردن کامپیوتر,7,74,
تکنیسین برق فرودگاهی,7,74,
سرشیقت تاب,7,75,
